Collection ID,Game ID,Name,Expansion,Version ID,Version,Status,Min Players,Max Players,Recommended Players,Best Players,Min Duration,Max Duration,Weight,Plays,Last Play,Rating,BGG Rating,Rank,Estimated Value,altnames,Publisher,Artist,Domain,Family,SuggestedAge,BggImage,Mechanisms,Categories,Designer,YearPublished
34595519,153999,"...and then, we held hands.",-,-,-,"Own,Wanttoplay",2,2,2,2,30,45,1.76,0,-,6.8,6,5771,12.65,然後我們牽起手,,,,,,,,,,
137080519,445868,10 to Leave,-,-,-,"Own,Wanttoplay",2,5,"3,4",4,10,20,1.25,0,-,8.5,7,20120,28,蚊子逃逃,,,,,,,,,,
-,421,1830: Railways & Robber Barons,-,-,-,-,2,7,"3, 4, 5, 6","4, 5",180,360,4.1653,0,-,-,7.18819,312,56.55,,The Avalon Hill Game Co,Mike Atkinson,Strategy Games,Category: Combinatorial Components: Map (Continental / National scale) Country: USA Digital Implementations: 18xx.games Misc: BGG Hall of Fame Series: 18xx,14.57,000421.jpg,Auction / Bidding Hexagon Grid Investment Market Network and Route Building Ownership Stock Holding Tile Placement Victory Points as a Resource,Economic Trains Transportation,Bruce Shelley,1986
-,27708,1960: The Making of the President,-,-,-,-,2,2,2,2,90,120,3.2032,0,-,-,7.16752,334,44.27,,GMT Games,Josh Cappel,Strategy Games,Country: USA Decades: The 1960's Digital Implementations: VASSAL History: Cold War Misc: Watch It Played How To Videos Players: Games with expansions that add solo play Players: Two-Player Only Games Political: Elections,13.2,027708.jpg,Action / Event Area Majority / Influence Campaign / Battle Card Driven Hand Management Simulation,Political Wargame,Christian Leonhard,2007
-,192458,51st State: Master Set,-,-,-,-,1,4,"1, 2, 3, 4",2,60,90,2.893,0,-,-,7.01644,484,35.98,,Portal Games,Grzegorz Bobrowski,Strategy Games,Components: Multi-Use Cards Digital Implementations: Board Game Arena Digital Implementations: Tabletopia Game: 51st State Mechanism: Tableau Building Players: Games with Solitaire Rules Setting: Neuroshima Theme: Post-Apocalyptic Theme: Survival,12.37,192458.jpg,Hand Management Multi-Use Cards Open Drafting Take That Variable Phase Order Variable Player Powers Worker Placement,Card Game City Building Economic Science Fiction,Ignacy Trzewiczek,2016
-,68448,7 Wonders,-,-,-,-,2,7,"3, 4, 5, 6, 7","4, 5",30,30,2.3145,0,-,-,7.54895,117,29.03,七大奇蹟,Repos Production,Dimitri Chappuis,Family Games Strategy Games,Ancient: Babylon Ancient: Egypt Ancient: Greece Category: DIZED Tutorial Constructions: Lighthouses Constructions: Pyramids Constructions: The Hanging Gardens of Babylon Digital Implementations: Board Game Arena Digital Implementations: BrettspielWelt Digital Implementations: Google Play Game: 7 Wonders Mechanism: Artificial Player Mechanism: Tableau Building Misc: BGG Hall of Fame Misc: Dice Tower Hall of Fame Misc: Watch It Played How To Videos Players: Games with expansions that change player count,9.92,068448.jpg,Closed Drafting End Game Bonuses Hand Management Melding and Splaying Multi-Use Cards Neighbor Scope Once-Per-Game Abilities Score-and-Reset Game Set Collection Simultaneous Action Selection Tags Tech Trees / Tech Tracks Variable Player Powers Variable Set-up,Ancient Card Game City Building Civilization Economic,Antoine Bauza,2010
-,316377,7 Wonders (Second Edition),-,-,-,-,3,7,"3, 4, 5, 6, 7","4, 5",30,30,2.2624,0,-,-,7.36149,203,38.04,七大奇蹟：第二,Repos Production,Miguel Coimbra,Family Games Strategy Games,Category: DIZED Tutorial Constructions: Lighthouses Constructions: Pyramids Constructions: The Hanging Gardens of Babylon Digital Implementations: Board Game Arena Game: 7 Wonders Mechanism: Tableau Building Misc: Watch It Played How To Videos,9.45,316377.jpg,Closed Drafting Hand Management Neighbor Scope Set Collection Simultaneous Action Selection Variable Player Powers,Ancient Card Game City Building Civilization Economic,Antoine Bauza,2020
-,173346,7 Wonders Duel,-,-,-,-,2,2,2,2,30,30,2.2273,0,-,-,7.95257,24,18.41,七大奇蹟|對決,Repos Production,Miguel Coimbra,Strategy Games,Ancient: Babylon Ancient: Egypt Ancient: Greece Ancient: Rome Constructions: Lighthouses Constructions: Pyramids Digital Implementations: Board Game Arena Digital Implementations: Google Play Game: 7 Wonders Game: 7 Wonders Duel Mechanism: Tableau Building Misc: Watch It Played How To Videos Players: Games with expansions that add solo play Players: Two-Player Only Games Versions & Editions: Two-Player Versions of More-Player Games,9.9,173346.jpg,End Game Bonuses Income Melding and Splaying Modular Board Multi-Use Cards Once-Per-Game Abilities Open Drafting Score-and-Reset Game Set Collection Sudden Death Ending Tags Tech Trees / Tech Tracks Track Movement Tug of War Variable Set-up,Ancient Card Game City Building Civilization Economic,Antoine Bauza,2015
46147439,177736,A Feast for Odin,-,-,-,"Own,Wanttoplay",1,4,"1, 2, 3, 4",3,30,120,3.87,0,-,9.2,7.94127,27,72.42,奧丁的盛宴,Feuerland Spiele,Dennis Lohausen,Strategy Games,Animals: Cattle / Cows Animals: Fish / Fishes Animals: Moose / Elk Animals: Sheep Components: Polyhedral (not D6) dice Components: Polyominoes Components: Wooden pieces & boards Country: Iceland Country: Norway Digital Implementations: Board Game Arena Game: A Feast for Odin History: Viking Expansion Islands: Greenland (Denmark) Mechanism: Tableau Building Mythology: Norse Occupation: Farmer Players: Games with Solitaire Rules Region: Arctic Series: Harvest (Uwe Rosenberg) Theme: Food / Cooking Theme: Vikings,12.55,177736.png,Action Points Automatic Resource Growth Dice Rolling Enclosure Grid Coverage Hand Management Income Layering Pattern Recognition Push Your Luck Solo / Solitaire Game Square Grid Tile Placement Turn Order: Pass Order Worker Placement,Animals Farming Industry / Manufacturing Medieval Puzzle,Uwe Rosenberg,2016
-,103343,A Game of Thrones: The Board Game (Second Edition),-,-,-,-,3,6,"4, 5, 6",6,120,240,3.7348,0,-,-,7.30136,237,28.81,權力的遊戲版圖版:第二,Fantasy Flight Games,Heiko Eller,Strategy Games,Books: A Song of Ice and Fire Components: Map (Continental / National scale) Components: Player Screens Digital Implementations: Google Play Digital Implementations: Steam Digital Implementations: VASSAL Game: A Game of Thrones - The Board Game,14.2,103343.jpg,Advantage Token Alliances Area Movement Auction / Bidding Auction: Sealed Bid Card Play Conflict Resolution Events Hand Management Income Negotiation Order Counters Player Elimination Simultaneous Action Selection Sudden Death Ending Turn Order: Auction Variable Player Powers,Bluffing Fantasy Negotiation Novel-based Political Wargame,Christian T. Petersen,2011
119845578,399987,A Message From the Stars,-,-,-,"Own,Wanttoplay",2,8,"2,3,4,6,8",2,45,45,2.67,0,-,7.8,7.3,2679,23.95,,,,,,,,,,,
-,172818,Above and Below,-,-,-,-,2,4,"2, 3, 4",3,90,90,2.5151,0,-,-,7.06796,422,34.91,綠洲&洞天,Red Raven Games,Ryan Laukat,Strategy Games Thematic Games,Crowdfunding: Kickstarter Game: Above and Below Mechanism: Tableau Building Misc: Forteller Audio Narration Misc: Made by Panda Players: Games with expansions that add solo play Setting: World of Arzium,10.05,172818.jpg,Action Points Dice Rolling Narrative Choice / Paragraph Set Collection Storytelling Trading Turn Order: Progressive,Adventure City Building Economic Exploration Fantasy Farming Negotiation,Ryan Laukat,2015
-,155987,Abyss,-,-,-,-,2,4,"2, 3, 4",4,30,60,2.3193,0,-,-,7.05698,439,42.43,,Bombyx,Xavier Collette,Strategy Games,Components: Bombyx Score Scoring App Components: Gems/Crystals Components: Official Music Soundtrack Digital Implementations: Board Game Arena Game: Abyss (Bombyx) Theme: Nature Theme: Under the Sea,10.83,155987.jpg,Auction / Bidding Hand Management Memory Open Drafting Push Your Luck Set Collection,Card Game Fantasy Mythology Nautical,Bruno Cathala,2014
-,5,Acquire,-,-,-,-,2,6,"3, 4, 5, 6",4,90,90,2.4888,0,-,-,7.12859,361,38.32,併購風雲,3M,Eric Hibbeler,Strategy Games,Components: 3-Dimensional (3D) Components: 9 x 12 Grids Digital Implementations: TableTop Simulator Mod (TTS) Digital Implementations: VASSAL Misc: BGG Hall of Fame Misc: Dice Tower Hall of Fame Series: 3M Bookshelf Series,11.32,000005.jpg,Connections End Game Bonuses Hand Management Hidden Victory Points Income Investment Market Pattern Building Square Grid Stock Holding Tile Placement Victory Points as a Resource,Economic Territory Building,Sid Sackson,1963
-,191189,Aeon's End,-,-,-,-,1,4,"1, 2, 3, 4",2,60,60,2.8003,0,-,-,7.57924,108,57.78,末日決戰,Action Phase Games,Gong Studios,Strategy Games,Components: Official Music Soundtrack Crowdfunding: Kickstarter Digital Implementations: Apple App Store Digital Implementations: Steam Game: Aeon's End Mechanism: Pure Deckbuilding Players: Games with Solitaire Rules Theme: Boss Battle,11.34,191189.jpg,"Chit-Pull System Cooperative Game Deck, Bag, and Pool Building Delayed Purchase Hand Management Open Drafting Solo / Solitaire Game Variable Phase Order Variable Player Powers Variable Set-up",Card Game Fantasy Fighting Science Fiction,Jenny Iglesias,2016
-,241451,Aeon's End: Legacy,-,-,-,-,1,4,"1, 2, 3, 4",2,45,90,2.8704,0,-,-,7.26754,253,44.89,,Indie Boards & Cards,Daniel Solis,Strategy Games,Crowdfunding: Kickstarter Game: Aeon's End Mechanism: Campaign Games Mechanism: Legacy Players: Games with Solitaire Rules Versions & Editions: Legacy Versions of Non-Legacy Games,10.29,241451.jpg,"Cooperative Game Deck, Bag, and Pool Building Hand Management Legacy Game Open Drafting Scenario / Mission / Campaign Game Solo / Solitaire Game Variable Phase Order Variable Player Powers",Card Game Fantasy Science Fiction,Jenny Iglesias,2019
-,270633,Aeon's End: The New Age,-,-,-,-,1,4,"1, 2, 3, 4",2,60,60,2.9103,0,-,-,7.1997,305,56.03,,Action Phase Games,Gong Studios,Strategy Games,Crowdfunding: Kickstarter Game: Aeon's End Mechanism: Campaign Games Players: Games with Solitaire Rules,11.25,270633.jpg,"Cooperative Game Deck, Bag, and Pool Building Hand Management Open Drafting Scenario / Mission / Campaign Game Variable Phase Order Variable Player Powers",Card Game Fantasy Science Fiction,Jenny Iglesias,2019
-,218417,Aeon's End: War Eternal,-,-,-,-,1,4,"1, 2, 3, 4",2,60,60,2.9249,0,-,-,7.4615,149,47.42,末日決戰：永恆之戰,Action Phase Games,Gong Studios,Strategy Games,Crowdfunding: Kickstarter Game: Aeon's End Players: Games with Solitaire Rules,11.1,218417.jpg,"Cooperative Game Deck, Bag, and Pool Building Hand Management Open Drafting Variable Phase Order Variable Player Powers",Card Game Fantasy Fighting Science Fiction,Jenny Iglesias,2017
-,22545,Age of Empires III: The Age of Discovery,-,-,-,-,2,5,"3, 4, 5","4, 5",90,120,3.1231,0,-,-,7.1038,386,39.13,世紀帝國三|帝國時代III: 開拓新世界,Tropical Games,Paul Niemeyer,Strategy Games,Continents: North America Continents: South America Country: England Country: France Country: Netherlands Country: Portugal Country: Spain Digital Implementations: VASSAL Game: Empires (Glenn Drover) History: Age of Discovery Players: Games with expansions that change player count Region: Caribbean Sea Theme: Colonial,11.75,022545.jpg,"Area Majority / Influence Set Collection Turn Order: Claim Action Worker Placement Worker Placement, Different Worker Types",Civilization Exploration Renaissance Video Game Theme,Glenn Drover,2007
-,383179,Age of Innovation,-,-,-,-,1,5,"1, 2, 3, 4, 5",4,40,200,4.2685,0,-,-,7.7539,56,61.44,神秘大地：大創造時代,Capstone Games,Álvaro Calvo Escudero,Strategy Games,Category: Combinatorial Components: Control Boards Digital Implementations: Board Game Arena Series: Terra Mystica,13.91,383179.jpg,Contracts End Game Bonuses Hexagon Grid Income Modular Board Network and Route Building Tech Trees / Tech Tracks Turn Order: Pass Order Variable Player Powers Variable Set-up Victory Points as a Resource,Civilization Economic Fantasy Territory Building,Helge Ostertag,2023
-,4098,Age of Steam,-,-,-,-,1,6,"3, 4, 5, 6","4, 5",120,120,3.8556,0,-,-,7.4908,139,59.79,蒸汽時代,Warfrog Games,Sean Brown,Strategy Games,Country: Barbados Country: Germany Country: Saint Lucia Country: USA Digital Implementations: VASSAL Game: Age of Steam Misc: Dice Tower Hall of Fame Players: Games with expansions that change player count Players: Games with Solitaire Rules Region: Great Lakes,13.64,004098.png,Auction / Bidding Catch the Leader Connections Dice Rolling Hexagon Grid Loans Network and Route Building Pick-up and Deliver Player Elimination Scenario / Mission / Campaign Game Selection Order Bid Solo / Solitaire Game Tile Placement Turn Order: Auction Victory Points as a Resource,Economic Post-Napoleonic Trains Transportation,John Bohrer,2002
33321814,31260,Agricola,-,-,-,"Own,Wanttoplay",1,5,"1, 2, 3, 4, 5","3, 4",30,150,3.6352,0,-,10,7.7249,64,37.96,農家樂,Lookout Games,Klemens Franz,Strategy Games,Animals: Cattle / Cows Animals: Horses Animals: Pigs Animals: Sheep Components: Meeples (Animal) / Animeeples Components: Wooden pieces & boards Digital Implementations: Board Game Arena Digital Implementations: Boiteajeux Game: Agricola Mechanism: Tableau Building Misc: BGG Hall of Fame Misc: Dice Tower Hall of Fame Occupation: Farmer Players: Games with Solitaire Rules Series: Harvest (Uwe Rosenberg) Theme: Food / Cooking,11.59,031260.jpg,Automatic Resource Growth Closed Drafting Enclosure Increase Value of Unchosen Resources Solo / Solitaire Game Turn Order: Claim Action Worker Placement,Animals Economic Farming,Uwe Rosenberg,2007
80300458,200680,Agricola (Revised Edition),-,-,-,Wanttoplay,1,4,"1, 2, 3, 4","3, 4",30,120,3.4476,0,-,-,7.6492,84,37.09,農家樂新版|農家樂,Lookout Games,Klemens Franz,Strategy Games,Animals: Cattle / Cows Animals: Pigs Animals: Sheep Components: Meeples (Animal) / Animeeples Components: Wooden pieces & boards Digital Implementations: Board Game Arena Game: Agricola Mechanism: Tableau Building Occupation: Farmer Players: Games with expansions that change player count Players: Games with Solitaire Rules Series: Harvest (Uwe Rosenberg) Theme: Food / Cooking,11.7,200680.jpg,Enclosure Hand Management Worker Placement Advantage Token Automatic Resource Growth Closed Drafting Increase Value of Unchosen Resources Solo / Solitaire Game Team-Based Game Turn Order: Claim Action Variable Player Powers,Animals Economic Farming,Uwe Rosenberg,2016
92800573,359999,Agricola 15,-,-,-,Wanttoplay,1,4,"1,2,3,4","3,4",30,120,3.37,0,-,-,7.8,0,59.9,農家樂15周年版,,,,,,,,,,
-,119890,Agricola: All Creatures Big and Small,-,-,-,-,2,2,2,2,30,30,2.3513,0,-,-,7.04242,454,33.7,農家樂：農夫與寵畜,Lookout Games,Klemens Franz,Strategy Games,Animals: Cattle / Cows Animals: Horses Animals: Pigs Animals: Sheep Category: Combinatorial Components: Meeples (Animal) / Animeeples Digital Implementations: Google Play Digital Implementations: Steam Game: Agricola Players: Two-Player Only Games Series: Fur Zwei Spieler (Lookout Games) Series: Harvest (Uwe Rosenberg) Versions & Editions: Two-Player Versions of More-Player Games,9.62,119890.jpg,Automatic Resource Growth Enclosure Increase Value of Unchosen Resources Tile Placement Turn Order: Claim Action Worker Placement,Animals Farming,Uwe Rosenberg,2012
133000000,440147,Agricola: Special Edition,-,-,-,"Wanttoplay,Preordered",1,6,"2,3,4","3,4",45,120,3.71,0,-,-,6.4,0,0,農家樂特別版,,,,,,,,,,
-,247367,"Air, Land, & Sea",-,-,-,-,2,2,2,2,20,20,1.7411,0,-,-,7.06925,420,9.3,,Arcane Wonders,Valerio Buonfantino,Strategy Games,"Card Games: Lane Battler Category: Two-Player Fighting Games Crowdfunding: Spieleschmiede Digital Implementations: Tabletopia Misc: LongPack Games Players: Two-Player Only Games Players: Wargames with Rules Supporting Only Two Players Series:  Air, Land, & Sea Theme: Animal Battles Theme: Anthropomorphic Animals",9.11,247367.jpg,Area Majority / Influence Card Play Conflict Resolution Hand Management,Animals Card Game Print & Play World War II,Jon Perry,2019
-,357563,Akropolis,-,-,-,-,1,4,"2, 3, 4",3,20,30,1.8,0,-,-,7.04571,450,19.59,雅典衛城,Gigamic,Pauline Detraz,Family Games,Ancient: Greece Crowdfunding: Spieleschmiede Digital Implementations: Board Game Arena Misc: Mensa Select Players: Expansions Adding Cooperative Play,8.21,357563.jpg,Auction: Dutch End Game Bonuses Layering Open Drafting Pattern Building Solo / Solitaire Game Tile Placement Turn Order: Progressive,Abstract Strategy Ancient City Building Territory Building,Jules Messaud,2022
35970258,184462,Alchemidus,-,-,-,"Own,Wanttoplay",1,127,8,8,30,30,1.5,0,-,7.9,6.3,15237,27.03,腦力煉金術,,,,,,,,,,
-,161970,Alchemists,-,-,-,-,2,4,"2, 3, 4",4,120,120,3.9243,0,-,-,7.39534,178,27.79,煉金術士,Czech Games Edition (CGE),David Cochard,Strategy Games,Components: Digital Hybrid - App/Website Required Components: Gems/Crystals Components: Player Screens Digital Implementations: Board Game Arena Digital Implementations: Boiteajeux Digital Implementations: VASSAL Theme: Alchemy Theme: Wizards,12.77,161970.png,Action Drafting Constrained Bidding Deduction End Game Bonuses Events Hand Management Open Drafting Turn Order: Progressive Worker Placement,Deduction Fantasy Puzzle,Matúš Kotry,2014
-,48726,Alien Frontiers,-,-,-,-,2,4,"2, 3, 4","3, 4",90,90,2.5647,0,-,-,7.08005,408,45.61,日本語,Clever Mojo Games,Piotr Burzykowski,Strategy Games,Components: Dice as Playing Units Creatures: Aliens / Extraterrestrials Crowdfunding: Kickstarter Crowdfunding: Ulule Digital Implementations: Tabletopia Digital Implementations: VASSAL Game: Alien Frontiers Misc: Dice Tower Hall of Fame Players: Games with expansions that change player count,10.08,048726.png,Area Majority / Influence Dice Rolling Open Drafting Worker Placement with Dice Workers,Dice Science Fiction Space Exploration,Tory Niemann,2010
75334089,299960,Alma Mater,-,-,-,"Own,Wanttoplay",2,4,"2,3,4",4,90,150,3.75,0,-,6.9,7.3,1216,15,盛譽學院,,,,,,,,,,
-,234487,Altiplano,-,-,-,-,2,5,"2, 3, 4",3,60,120,3.2936,0,-,-,7.01983,477,36.72,南美高原,dlp games,Klemens Franz,Strategy Games,Country: Bolivia Digital Implementations: Tabletopia Game: Altiplano Misc: LongPack Games Mountains: Andes Occupation: Farmer,12.06,234487.jpg,"Action Points Contracts Deck, Bag, and Pool Building Modular Board Open Drafting Tile Placement Turn Order: Progressive Variable Player Powers Variable Set-up Worker Placement",Economic,Reiner Stockhausen,2017
-,185343,Anachrony,-,-,-,-,1,4,"1, 2, 3, 4",3,30,120,3.9983,0,-,-,7.73251,61,96.61,時空亂序,Mindclash Games,Villő Farkas,Strategy Games,Components: Miniatures Crowdfunding: Kickstarter Digital Implementations: Board Game Arena Digital Implementations: Tabletopia Game: Anachrony Mechanism: Tableau Building Misc: Made by Panda Players: Games with Solitaire Rules Theme: Post-Apocalyptic Theme: Time Travel,13.81,185343.jpg,"Contracts Dice Rolling Die Icon Resolution End Game Bonuses Events Map Reduction Open Drafting Set Collection Solo / Solitaire Game Turn Order: Claim Action Variable Player Powers Variable Set-up Worker Placement Worker Placement, Different Worker Types",Economic Science Fiction,Dávid Turczi,2017
-,124742,Android: Netrunner,-,-,-,-,2,2,2,2,45,45,3.4154,0,-,-,7.65278,83,70.02,,Fantasy Flight Games,Bruno Balixa,Customizable Games,Category: Two-Player Fighting Games Collectible: Living Card Game (Fantasy Flight Games) Components: Customizable Digital Implementations: VASSAL Game: Android - Netrunner (LCG) Players: Two-Player Only Games Setting: Android Theme: Cyberpunk Theme: Hackers,12.55,124742.jpg,Action Points Deck Construction Hand Management Race Secret Unit Deployment Take That Variable Player Powers,Bluffing Card Game Collectible Components Science Fiction,Richard Garfield,2012
-,358661,Andromeda's Edge,-,-,-,-,2,4,"2, 3, 4",3,80,160,3.745,0,-,-,7.39468,179,150.79,,Cardboard Alchemy,Sergio Chaves,Strategy Games,Components: Game Trayz Inside Crowdfunding: Gamefound Game:  Andromeda's Edge Misc: LongPack Games Players: Games with expansions that add solo play Players: Games with expansions that change player count,13.54,358661.jpg,"Area Majority / Influence Dice Rolling End Game Bonuses Events Hand Management Hexagon Grid Tech Trees / Tech Tracks Variable Player Powers Variable Set-up Worker Placement Worker Placement, Different Worker Types",Fighting Science Fiction Space Exploration Territory Building,Luke Laurie,2024
33487757,155020,Animals Frightening Night!,-,-,-,Prevowned,4,10,"6,7,8,9,10","7,8",5,20,1.57,0,-,-,6.1,16916,17.38,動物夜怕怕,,,,,,,,,,
-,285967,Ankh: Gods of Egypt,-,-,-,-,2,5,"2, 3, 4, 5","2, 4",90,90,3.1321,0,-,-,7.27066,252,177.08,,CMON Global Limited,Nicolas Fructus,Strategy Games,Ancient: Egypt Components: Miniatures Creatures: Monsters Crowdfunding: Kickstarter Game: Ankh - Gods of Egypt Mythology: Egyptian,12.58,285967.jpg,Action Retrieval Alliances Area Majority / Influence Auction: Sealed Bid Card Play Conflict Resolution Grid Movement Hexagon Grid Kill Steal Player Elimination Race Tech Trees / Tech Tracks Variable Player Powers,Ancient Fantasy Fighting Mythology Wargame,Eric M. Lang,2021
-,311193,Anno 1800: The Board Game,-,-,-,-,2,4,"2, 3, 4",3,120,120,3.1297,0,-,-,7.20547,299,30.36,,KOSMOS,Fiore GmbH,Strategy Games,History: Industrial Revolution Mechanism: Tableau Building Misc: LongPack Games Players: Games with expansions that add solo play Video Game Theme: Anno,11.43,311193.jpg,"Contracts End Game Bonuses Hand Management Hidden Victory Points Income Market Modular Board Once-Per-Game Abilities Open Drafting Ownership Race Simulation Solo / Solitaire Game Tags Tech Trees / Tech Tracks Tile Placement Variable Set-up Worker Placement, Different Worker Types",Card Game City Building Economic Industry / Manufacturing Napoleonic Post-Napoleonic Video Game Theme,Martin Wallace,2020
-,13122,Antiquity,-,-,-,-,2,4,"2, 3, 4","2, 3",120,180,4.3231,0,-,-,7.05761,437,134.95,,Splotter Spellen,Ynze Moedt,Strategy Games,Components: Polyominoes Digital Implementations: Boardgamecore Digital Implementations: Online Board Gamers Digital Implementations: VASSAL,13.89,013122.png,Grid Coverage Hexagon Grid Modular Board Square Grid Tile Placement Trading,City Building Civilization Economic Environmental Medieval,Jeroen Doumen,2004
-,400314,Apiary,-,-,-,-,1,5,"1, 2, 3, 4",3,60,90,3.0112,0,-,-,7.18029,320,42.05,,Stonemaier Games,Kwanchai Moriya,Strategy Games,Animals: Bees Category: DIZED Tutorial Digital Implementations: Board Game Arena Digital Implementations: Tabletopia Misc: Watch It Played How To Videos Organizations: Automa Factory Theme: Anthropomorphic Animals,11.58,400314.png,Income Multi-Use Cards Solo / Solitaire Game Tile Placement Variable Player Powers Worker Placement,Animals Science Fiction Space Exploration,Connie Vogelmann,2023
99038711,360471,Aquamarine,-,-,-,"Own,Wanttoplay",1,100,"1,2,3,4,5,6,7,8","2,3",20,30,1.79,0,-,8,7.3,3607,0,紙筆潛水,,,,,,,,,,
-,140934,Arboretum,-,-,-,-,2,4,"2, 3, 4",2,30,30,2.1118,0,-,-,7.05953,434,25.26,,Filosofia Éditions,Philippe Guérin,Family Games,Card Games: Draw and Discard Digital Implementations: Board Game Arena Digital Implementations: VASSAL Series: Deluxe card game (Z-Man / Filosofia) Theme: Trees and Forests,9.88,140934.png,Connections Hand Management Move Through Deck Open Drafting Ordering Pattern Building Set Collection Square Grid,Card Game Number,Dan Cassar,2015
